,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
2019,28521,"Scope2,market-based",<NotApplicable>,ManpowerGroup - ,2019+CDP+Report (1).pdf
2019,"2,277,666","950,954","6,551",ICL  ,ICL-CDP-Carbon-2019-report-final.pdf
2019,"134,118","Scope2,market-based","433,675",Illinois Tool Works Inc.  ,itw-cdp-climatechange-2019.pdf
2021,"19,106","188,434","273,300","L Brands, Inc.  ","L_Brands,_Inc._-_CDP_Climate_Change_Questionnaire_2021_- Submission 7.28.2021.pdf"
2020,,,,"L Brands, Inc.  ",l_brands_inc_-_cdp_climate_change_questionnaire_2020_-submission.pdf
2019,,,,Mars  ,Mars CDP Climate Change Questionnaire 2019 Final.pdf
2020,"714,636","332,132","197,381",Manulife Financial Corp.  ,MFC_CDP_2020_EN.pdf
2020,"46,134",,"10,165",MTR Corporation Limited  ,MTR_CDP_Climate_Change_Questionnaire.pdf
2019,"4,930,129.64","196,154.62","5,807368.45",Norfolk Southern Corp.  ,ns-2019-cdp-filing.pdf
2021,"697,313","605,271","2,526,537",Pfizer Inc.  ,Pfizer_Inc-CDP_Climate_Change_Questionnaire_2021.pdf
2019,162.86,"38,022.49",639.65,Sanlam  ,sanlam_-_cdp_climate_change_questionnaire_2019_final.pdf
2019,"59,655,410","7,756,000","3,760,958",Sasol Limited  ,Sasol_Limited_CDP_Climate_Change_Questionnaire_2019_25 Oct 19.pdf
2021,25,"Scope2,market-based(ifapplicable)",<NotApplicable>,Splunk Inc - ,splunk-cdp-climate-change-2021-response.pdf
2021,"918,026","245,656",,Sysco Corporation  ,SYY CDP Climate Change_2021 Submission2.pdf
2019,"39,882","Scope2,market-based","2,174",The Spar Group Ltd  ,The_Spar_Group_Ltd_CDP_Climate_Change_Questionnaire_2019_20190729144418.pdf
2019,"38,586","107,869",400.89,Weir Group  ,weirgroup-cdp-climate-change-questionnaire-2019.pdf
2021,,,,"Juniper Networks, Inc.  ",welcome-to-your-cdp-climate-change-questionnaire-2021.pdf
2020,"16,692","74,544","3,251,037",Williams-Sonoma Inc  ,Williams-Sonoma_Inc_-_CDP_Climate_Change_Questionnaire_2020_.pdf
